partition,gbar_m_s2,raw_sis_gobs_m_s2,mistele2024_gobs_m_s2
kids-pairs-v017-06,2.238721138568338e-12,-5.083500053722092e-12,1.659586907437563e-11
kids-pairs-v017-06,3.8904514499428045e-12,-1.8073787974881498e-12,2.2387211385683377e-11
kids-pairs-v017-07,1.3803842646028866e-15,2.0239244305760164e-13,1.4125375446227554e-13
kids-pairs-v017-07,2.4547089156850336e-15,3.439125784769052e-13,3.630780547701018e-13
kids-pairs-v017-07,4.2657951880159345e-15,6.831642564343472e-14,5.370317963702532e-13
kids-pairs-v017-07,7.585775750291851e-15,2.657927474371206e-13,8.317637711026708e-13
kids-pairs-v017-07,1.3489628825916561e-14,1.63298490434199e-13,1.1748975549395304e-12
kids-pairs-v017-07,2.344228815319918e-14,-4.726905934753155e-13,1.7378008287493763e-12
kids-pairs-v017-07,4.168693834703347e-14,-1.0482418025643972e-13,2.5703957827688646e-12
kids-pairs-v017-07,7.413102413009162e-14,7.403879291065837e-13,3.3884415613920204e-12
kids-pairs-v017-07,1.2882495516931323e-13,-3.933057930617909e-13,5.128613839913659e-12
kids-pairs-v017-07,2.29086765276777e-13,-8.83434060202611e-13,6.16595001861481e-12
kids-pairs-v017-07,4.073802778041122e-13,-7.311156863508898e-13,7.762471166286927e-12
kids-pairs-v017-07,7.079457843841374e-13,6.92284977587959e-13,1e-11
kids-pairs-v017-07,1.258925411794166e-12,6.0809072982333396e-12,1.3182567385564048e-11
kids-pairs-v017-07,2.238721138568338e-12,1.5378053525990904e-11,1.659586907437563e-11
kids-pairs-v017-07,3.8904514499428045e-12,1.393888452084811e-11,2.2387211385683377e-11
exact_merged,1.3803842646028866e-15,5.721517834783088e-14,1.4125375446227554e-13
exact_merged,2.4547089156850336e-15,5.1337719340323095e-14,3.630780547701018e-13
exact_merged,4.2657951880159345e-15,2.5831313656520517e-14,5.370317963702532e-13
exact_merged,7.585775750291851e-15,1.4739052575280897e-13,8.317637711026708e-13
exact_merged,1.3489628825916561e-14,7.009580829744211e-14,1.1748975549395304e-12
exact_merged,2.344228815319918e-14,1.715302474922212e-13,1.7378008287493763e-12
exact_merged,4.168693834703347e-14,2.144149078947584e-13,2.5703957827688646e-12
exact_merged,7.413102413009162e-14,4.0987505093755383e-13,3.3884415613920204e-12
exact_merged,1.2882495516931323e-13,-1.0293377819345994e-13,5.128613839913659e-12
exact_merged,2.29086765276777e-13,-1.3613626300579227e-13,6.16595001861481e-12
exact_merged,4.073802778041122e-13,1.185238068743446e-12,7.762471166286927e-12
exact_merged,7.079457843841374e-13,6.699759637324446e-13,1e-11
exact_merged,1.258925411794166e-12,6.106845339873137e-13,1.3182567385564048e-11
exact_merged,2.238721138568338e-12,1.9081188962393948e-13,1.659586907437563e-11
exact_merged,3.8904514499428045e-12,2.3371835018203276e-12,2.2387211385683377e-11
